Datetime,Open,High,Low,Close,Volume,Adj Close,Prediction,pointpos,Portfolio Value,Cumulative Returns,Drawdown
2024-07-06 09:59:00+00:00,56746.89,56780.01,56746.88,56766.0,2327566,1317,0,,10000.0,,0.0
2024-07-06 10:00:00+00:00,56765.99,56770.0,56711.64,56718.0,1016630,1947,0,,10000.0,0.0,0.0
2024-07-06 10:01:00+00:00,56718.0,56728.0,56704.44,56728.0,787009,1021,0,,10000.0,0.0,0.0
2024-07-06 10:02:00+00:00,56728.0,56767.86,56724.0,56766.59,547328,1054,0,,10000.0,0.0,0.0
2024-07-06 10:03:00+00:00,56766.59,56825.0,56766.59,56814.0,2144208,1619,0,,10000.0,0.0,0.0
2024-07-06 10:04:00+00:00,56813.99,56824.0,56802.0,56802.0,703621,1084,0,,10000.0,0.0,0.0
2024-07-06 10:05:00+00:00,56802.01,56848.16,56800.0,56832.02,879482,1775,0,,10000.0,0.0,0.0
2024-07-06 10:06:00+00:00,56832.01,56836.0,56788.0,56798.04,1103721,2331,0,,10000.0,0.0,0.0
2024-07-06 10:07:00+00:00,56798.04,56824.01,56790.9,56824.01,324012,754,2,56790.9005,9998.588624773225,-0.00014113752267752577,-0.00014113752267749078
2024-07-06 10:08:00+00:00,56824.01,56854.0,56820.08,56853.99,792809,1085,0,,9998.588624773225,-0.00014113752267752577,-0.00014113752267749078
2024-07-06 10:09:00+00:00,56854.0,56876.33,56842.0,56858.0,1251173,1807,1,56842.0005,9998.588624773225,-0.00014113752267752577,-0.00014113752267749078
2024-07-06 10:10:00+00:00,56858.0,56858.0,56812.15,56815.99,861302,1356,0,,9998.588624773225,-0.00014113752267752577,-0.00014113752267749078
2024-07-06 10:11:00+00:00,56816.0,56816.0,56777.35,56777.36,717638,920,0,,9998.588624773225,-0.00014113752267752577,-0.00014113752267749078
2024-07-06 10:12:00+00:00,56777.35,56816.0,56777.35,56778.08,805732,1068,0,,9998.588624773225,-0.00014113752267752577,-0.00014113752267749078
2024-07-06 10:13:00+00:00,56778.07,56788.0,56774.55,56787.99,506988,1082,0,,9998.588624773225,-0.00014113752267752577,-0.00014113752267749078
2024-07-06 10:14:00+00:00,56787.99,56792.0,56778.0,56778.0,366414,1052,0,,9998.588624773225,-0.00014113752267752577,-0.00014113752267749078
2024-07-06 10:15:00+00:00,56778.01,56778.01,56739.99,56750.0,715153,1304,0,,9998.588624773225,-0.00014113752267752577,-0.00014113752267749078
2024-07-06 10:16:00+00:00,56749.99,56750.0,56739.73,56747.39,578447,704,0,,9998.588624773225,-0.00014113752267752577,-0.00014113752267749078
2024-07-06 10:17:00+00:00,56747.39,56778.0,56747.38,56766.0,279016,1705,0,,9998.588624773225,-0.00014113752267752577,-0.00014113752267749078
2024-07-06 10:18:00+00:00,56766.0,56766.01,56734.0,56754.0,554780,2356,0,,9998.588624773225,-0.00014113752267752577,-0.00014113752267749078
2024-07-06 10:19:00+00:00,56754.0,56761.1,56751.1,56761.09,234717,2032,0,,9998.588624773225,-0.00014113752267752577,-0.00014113752267749078
2024-07-06 10:20:00+00:00,56761.1,56771.1,56741.1,56741.11,241138,925,0,,9998.588624773225,-0.00014113752267752577,-0.00014113752267749078
2024-07-06 10:21:00+00:00,56741.11,56750.0,56734.58,56734.58,931883,1006,0,,9998.588624773225,-0.00014113752267752577,-0.00014113752267749078
2024-07-06 10:22:00+00:00,56734.59,56740.0,56729.38,56731.39,996123,921,0,,9998.588624773225,-0.00014113752267752577,-0.00014113752267749078
2024-07-06 10:23:00+00:00,56731.38,56731.39,56700.01,56708.4,1057502,1343,0,,9998.588624773225,-0.00014113752267752577,-0.00014113752267749078
2024-07-06 10:24:00+00:00,56708.4,56708.4,56703.39,56703.89,1283961,655,0,,9998.588624773225,-0.00014113752267752577,-0.00014113752267749078
2024-07-06 10:25:00+00:00,56703.88,56731.98,56703.88,56707.4,982567,770,0,,9998.588624773225,-0.00014113752267752577,-0.00014113752267749078
2024-07-06 10:26:00+00:00,56707.41,56708.0,56700.01,56708.0,742841,667,0,,9998.588624773225,-0.00014113752267752577,-0.00014113752267749078
