Datetime,Open,High,Low,Close,Volume,Adj Close,Prediction,Portfolio Value,Cumulative Returns,Drawdown
2024-07-13 00:12:00+00:00,33.23,33.23,33.22,33.23,887329,125,0,10000.0,,0.0
2024-07-13 00:13:00+00:00,33.23,33.23,33.22,33.22,12426,10,0,10000.0,0.0,0.0
2024-07-13 00:14:00+00:00,33.23,33.23,33.22,33.22,437861,37,0,10000.0,0.0,0.0
2024-07-13 00:15:00+00:00,33.23,33.23,33.22,33.22,757462,101,0,10000.0,0.0,0.0
2024-07-13 00:16:00+00:00,33.23,33.23,33.22,33.22,885762,109,0,10000.0,0.0,0.0
2024-07-13 00:17:00+00:00,33.22,33.23,33.21,33.22,346139,84,0,10000.0,0.0,0.0
2024-07-13 00:18:00+00:00,33.22,33.22,33.21,33.22,775624,38,0,10000.0,0.0,0.0
2024-07-13 00:19:00+00:00,33.22,33.22,33.21,33.21,239039,30,0,10000.0,0.0,0.0
2024-07-13 00:20:00+00:00,33.22,33.22,33.21,33.22,952850,131,0,10000.0,0.0,0.0
2024-07-13 00:21:00+00:00,33.21,33.22,33.21,33.21,89770,17,0,10000.0,0.0,0.0
2024-07-13 00:22:00+00:00,33.22,33.22,33.21,33.22,395949,154,0,10000.0,0.0,0.0
2024-07-13 00:23:00+00:00,33.22,33.22,33.21,33.22,476198,150,0,10000.0,0.0,0.0
2024-07-13 00:24:00+00:00,33.22,33.22,33.21,33.22,182204,23,0,10000.0,0.0,0.0
2024-07-13 00:25:00+00:00,33.21,33.22,33.21,33.22,186255,40,0,10000.0,0.0,0.0
2024-07-13 00:26:00+00:00,33.21,33.22,33.21,33.22,373226,147,0,10000.0,0.0,0.0
2024-07-13 00:27:00+00:00,33.22,33.22,33.21,33.21,467592,45,0,10000.0,0.0,0.0
2024-07-13 00:28:00+00:00,33.21,33.23,33.21,33.23,548241,25,0,10000.0,0.0,0.0
2024-07-13 00:29:00+00:00,33.23,33.23,33.22,33.22,733168,56,0,10000.0,0.0,0.0
2024-07-13 00:30:00+00:00,33.22,33.23,33.22,33.23,491113,114,0,10000.0,0.0,0.0
2024-07-13 00:31:00+00:00,33.22,33.23,33.22,33.22,180505,19,0,10000.0,0.0,0.0
2024-07-13 00:32:00+00:00,33.22,33.23,33.22,33.23,458986,47,0,10000.0,0.0,0.0
2024-07-13 00:33:00+00:00,33.22,33.23,33.22,33.23,1454695,14,0,10000.0,0.0,0.0
2024-07-13 00:34:00+00:00,33.22,33.23,33.22,33.23,675632,48,0,10000.0,0.0,0.0
2024-07-13 00:35:00+00:00,33.23,33.23,33.22,33.23,444278,33,0,10000.0,0.0,0.0
2024-07-13 00:36:00+00:00,33.23,33.23,33.22,33.23,506019,25,0,10000.0,0.0,0.0
2024-07-13 00:37:00+00:00,33.23,33.23,33.22,33.23,301646,17,0,10000.0,0.0,0.0
2024-07-13 00:38:00+00:00,33.23,33.23,33.22,33.23,204801,42,0,10000.0,0.0,0.0
2024-07-13 00:39:00+00:00,33.23,33.23,33.22,33.23,204259,7,0,10000.0,0.0,0.0
2024-07-13 00:40:00+00:00,33.22,33.23,33.22,33.23,380102,21,0,10000.0,0.0,0.0
2024-07-13 00:41:00+00:00,33.23,33.23,33.21,33.23,102376,22,0,10000.0,0.0,0.0
2024-07-13 00:42:00+00:00,33.22,33.22,33.21,33.22,425358,246,0,10000.0,0.0,0.0
2024-07-13 00:43:00+00:00,33.21,33.22,33.21,33.22,604355,95,0,10000.0,0.0,0.0
2024-07-13 00:44:00+00:00,33.22,33.22,33.21,33.21,290295,53,0,10000.0,0.0,0.0
2024-07-13 00:45:00+00:00,33.22,33.22,33.21,33.21,2186803,46,0,10000.0,0.0,0.0
2024-07-13 00:46:00+00:00,33.22,33.22,33.21,33.22,111584,30,0,10000.0,0.0,0.0
