Datetime,Open,High,Low,Close,Volume,Adj Close,Prediction,Portfolio Value,Cumulative Returns,Drawdown
2024-07-12 23:43:00+00:00,25.93,25.93,25.93,25.93,7301,15,0,10000.0,,0.0
2024-07-12 23:44:00+00:00,25.93,25.95,25.93,25.95,11185,32,0,10000.0,0.0,0.0
2024-07-12 23:45:00+00:00,25.95,25.95,25.93,25.93,8678,19,0,10000.0,0.0,0.0
2024-07-12 23:46:00+00:00,25.94,25.94,25.92,25.94,9768,26,0,10000.0,0.0,0.0
2024-07-12 23:47:00+00:00,25.93,25.93,25.93,25.93,3267,5,0,10000.0,0.0,0.0
2024-07-12 23:48:00+00:00,25.93,25.94,25.93,25.93,11169,21,0,10000.0,0.0,0.0
2024-07-12 23:49:00+00:00,25.93,25.93,25.92,25.93,2460,3,0,10000.0,0.0,0.0
2024-07-12 23:50:00+00:00,25.92,25.93,25.92,25.93,6395,14,0,10000.0,0.0,0.0
2024-07-12 23:51:00+00:00,25.92,25.94,25.92,25.93,21696,45,0,10000.0,0.0,0.0
2024-07-12 23:52:00+00:00,25.92,25.94,25.92,25.94,8023,14,0,10000.0,0.0,0.0
2024-07-12 23:53:00+00:00,25.94,25.95,25.94,25.94,25946,60,0,10000.0,0.0,0.0
2024-07-12 23:54:00+00:00,25.93,25.97,25.93,25.97,20193,99,0,10000.0,0.0,0.0
2024-07-12 23:55:00+00:00,25.98,25.98,25.98,25.98,17044,57,0,10000.0,0.0,0.0
2024-07-12 23:56:00+00:00,25.98,25.98,25.96,25.96,87111,200,0,10000.0,0.0,0.0
2024-07-12 23:57:00+00:00,25.96,25.96,25.96,25.96,6289,9,0,10000.0,0.0,0.0
2024-07-12 23:58:00+00:00,25.97,25.97,25.96,25.96,4085,12,0,10000.0,0.0,0.0
2024-07-12 23:59:00+00:00,25.96,25.96,25.95,25.96,21734,27,0,10000.0,0.0,0.0
2024-07-13 00:00:00+00:00,25.97,26.0,25.95,25.95,224833,310,0,10000.0,0.0,0.0
2024-07-13 00:01:00+00:00,25.94,25.94,25.93,25.93,24895,50,0,10000.0,0.0,0.0
2024-07-13 00:02:00+00:00,25.94,25.95,25.93,25.93,33933,78,0,10000.0,0.0,0.0
2024-07-13 00:03:00+00:00,25.93,25.95,25.93,25.95,8499,24,0,10000.0,0.0,0.0
2024-07-13 00:04:00+00:00,25.95,25.95,25.93,25.93,8028,14,0,10000.0,0.0,0.0
